Date,Total Return
11/1/2008,-0.071751862
12/1/2008,0.010642094
1/1/2009,-0.084288821
2/1/2009,-0.106477999
3/1/2009,0.087598009
4/1/2009,0.095709139
5/1/2009,0.055931612
6/1/2009,0.001985314
7/1/2009,0.075633529
8/1/2009,0.036103453
9/1/2009,0.0373177
10/1/2009,-0.018576193
11/1/2009,0.059982247
12/1/2009,0.019315655
1/1/2010,-0.035972776
2/1/2010,0.030975497
3/1/2010,0.060347024
4/1/2010,0.015786411
5/1/2010,-0.079850571
6/1/2010,-0.052348645
7/1/2010,0.070060601
8/1/2010,-0.04514001
9/1/2010,0.089241333
10/1/2010,0.038052341
11/1/2010,0.000126161
12/1/2010,0.066831871
1/1/2011,0.023700562
2/1/2011,0.034258986
3/1/2011,0.000397531
4/1/2011,0.029614578
5/1/2011,-0.011319521
6/1/2011,-0.016669153
7/1/2011,-0.020333073
8/1/2011,-0.054324089
9/1/2011,-0.070296318
10/1/2011,0.10929206
11/1/2011,-0.002208404
12/1/2011,0.010228846
1/1/2012,0.04481366
2/1/2012,0.043241776
3/1/2012,0.032907936
4/1/2012,-0.006273991
5/1/2012,-0.060101318
6/1/2012,0.041202528
7/1/2012,0.013888745
8/1/2012,0.022523378
9/1/2012,0.025842582
10/1/2012,-0.018465082
11/1/2012,0.005799392
12/1/2012,0.009114228
1/1/2013,0.051796
2/1/2013,0.013575489
3/1/2013,0.037503045
4/1/2013,0.019266754
5/1/2013,0.023390087
6/1/2013,-0.013428132
7/1/2013,0.050886484
8/1/2013,-0.028961322
9/1/2013,0.031358277
10/1/2013,0.045967295
11/1/2013,0.030473913
12/1/2013,0.025317627
1/1/2014,-0.034576089
2/1/2014,0.045745774
3/1/2014,0.008403626
4/1/2014,0.007391461
5/1/2014,0.023476259
6/1/2014,0.020656294
7/1/2014,-0.013791529
8/1/2014,0.040003579
9/1/2014,-0.014020162
10/1/2014,0.024424801
11/1/2014,0.026894087
12/1/2014,-0.002519217
1/1/2015,-0.030020352
2/1/2015,0.057473687
3/1/2015,-0.015815639
4/1/2015,0.009594591
5/1/2015,0.012858597
6/1/2015,-0.019359124
7/1/2015,0.020952068
8/1/2015,-0.060334218
9/1/2015,-0.024743585
10/1/2015,0.084354572
11/1/2015,0.002973141
12/1/2015,-0.015771958
1/1/2016,-0.049623229
2/1/2016,-0.001349107
3/1/2016,0.067837324
4/1/2016,0.003877963
5/1/2016,0.017957237
6/1/2016,0.002592254
7/1/2016,0.03686796
8/1/2016,0.001404851
9/1/2016,0.000186885
10/1/2016,-0.018240493
11/1/2016,0.037035137
12/1/2016,0.019765375
1/1/2017,0.018966195
2/1/2017,0.039708179
3/1/2017,0.001164762
4/1/2017,0.010270539
5/1/2017,0.014072531
6/1/2017,0.00624175
7/1/2017,0.020562804
8/1/2017,0.003062087
9/1/2017,0.020627756
10/1/2017,0.023334751
11/1/2017,0.030669581
12/1/2017,0.011118319
1/1/2018,0.057253779
2/1/2018,-0.036855812
3/1/2018,-0.02541402
4/1/2018,0.00383711
5/1/2018,0.024082244
6/1/2018,0.00615445
7/1/2018,0.037214765
8/1/2018,0.032583991
9/1/2018,0.005692071
10/1/2018,-0.068349989
11/1/2018,0.020378084
12/1/2018,-0.090289844
